AIRLINE_CODE,NAME,CARRIER_CATEGORY,CARRIER_IATA_CODE,CARRIER_ICAO_CODE,LOGO,CLASSIFICATION
EY,Etihad Airways,I,EY,ETD,EY.gif,3
EZ,Evergreen International,C,EZ,EIA,EZ.gif,4
EZ*,Sun Air,A,EZ,SUS,EZ2.gif,4
F2,Aerolineas Regionales,C,F2,,,4
F3*,"Sky King, Inc. ",A,F3,SGB,,4
F4*,Shanghai Airlines Cargo,C,F4,SHQ,,4
F5,Cosmic Air,I,F5,,F5.gif,3
F6,First Cambodia Airlines,I,F6,FCC,,3
F7,flybaboo,A,F7,BBO,F7.gif,3
F8,Freedom Airlines,A,F8,FRL,F8.gif,4
F9,Frontier Airlines,I,F9,FFT,F9.gif,2
FA,Airlink Airways,A,FA,,,4
FA*,Safair,C,FA,SFR,,4
FAH,Farner Air Hungary,I,,FAH,,4
FAO,Falcon Air Express,C,,FAO,,4
FAT,Farnair Switzerland,C,,FAT,,4
FB,Bulgaria Air,I,FB,LZB,FB.gif,3
FC,Finncomm Airlines,A,FC,,,3
FC*,Falcon Express,C,FC,,,4
FCV,Flight Centre Victoria,I,,FCV,,4
FD,Thai AirAsia,I,FD,,,3
FDA,Fuji Dream Airlines,A,JH,FDA,,4
FE,Primaris Airlines,I,FE,,,4
FFP,Prima Charter,B,,FFP,,4
FG,Ariana Afghan Airlines,I,FG,AFG,FG.gif,3
FH,Futura International,A,FH,FUA,,4
FHE,Hello,I,HW,FHE,,4
FHY,Freebird Airlines,I,FH,FHY,,4
FI,Icelandair,I,FI,ICE,FI.gif,3
FIV,Citationshares,C,,FIV,,4
FJ,Air Pacific,I,FJ,FJI,FJ.gif,3
FK,Africa West,C,FK,,,4
FK*,Keewatin Air,A,FK,,,3
FL,AirTran Airways,I,FL,TRS,FL.gif,1
FLB,Fly S.A.,A,4H,FLB,,4
FLT,Flightline,A,B5,FLT,,4
